,state_abrv,2005_copper_mg/L_x_population_served,2006_copper_mg/L_x_population_served,2007_copper_mg/L_x_population_served,2008_copper_mg/L_x_population_served,2009_copper_mg/L_x_population_served,2010_copper_mg/L_x_population_served,2011_copper_mg/L_x_population_served,2012_copper_mg/L_x_population_served,2013_copper_mg/L_x_population_served,2014_copper_mg/L_x_population_served,2015_copper_mg/L_x_population_served,2016_copper_mg/L_x_population_served,2017_copper_mg/L_x_population_served,2018_copper_mg/L_x_population_served,2019_copper_mg/L_x_population_served,2020_copper_mg/L_x_population_served,fips
1,AL,4.694444444444444,7.971940850294431,17.222500000000004,5.522500000000001,5.872544444444444,3.3124000000000002,11.971599999999997,12.752040999999998,14.3641,10.017225,585225.0,5.683456,4.63325625,11.639469444444444,2.4806250000000007,8.179599999999999,01
0,AK,5.342839626736112,6.61550550390625,3.8927289999999997,6.932689,487032.0867468143,4.44800505968858,56057.722048614414,5.99436875315166,5.532426679012346,8.10437376033058,3.2984969723183393,5.69581616735537,4.831753515625,5.030408163265307,5.92466025390625,4.9729,02
3,AZ,3.24,4.401604,2.7115111111111108,5.681722314049585,3.6940839999999997,7.193124,4.131056249999999,10.868011111111112,543.3561,5.472058624893234,1.9880999999999998,3.0067559999999998,9.922500000000003,10.1761,4.0,34.339600000000004,04
2,AR,3.5721,7.971940850294431,57.154078760803976,71506.90709190568,1681.0,7.125129162413234,67.1974583165418,52.74140624577999,54.89633080296182,6.002500000000001,881.4551203238751,9.18791913050573,23.96880737665074,7.8289610263744915,7.051264706445421,2.1315999999999997,05
4,CA,22.634941925535898,7.614940962011828,181.56449364886578,4.388944423446744,4.012009000000001,5.513284616863905,13.406407893424035,41.89339396287914,4.873387380624999,4.363338042725799,5.280608427342688,37.069076311228876,4.1127434401,4.834087191571746,5.293054553313004,4.600836660464011,06
5,CO,117.29013771755102,5.895594899467456,2.777777777777778,8.497224999999998,4.462656249999999,4.305625000000001,4.629539041322314,3.4968999999999997,4.6629003906249995,4.513854340277778,3.9082248520710055,3.8252840277777778,3.1303259834710744,4.2797265625000005,3.8415999999999997,3.5062562500000003,08
6,CT,6.406322576530614,4.854922595679013,6.037258506944444,4.154317474489795,4.247937950138502,7.728399999999999,5.815517751479291,5.462843801652893,7.5625,8.556708367626888,6.131814062499999,4.419697633136094,7.338089772658265,5.4458609108310245,9.138528999999998,3.5593782532841884,09
7,DE,9.679654331632655,669.6191289999999,57.154078760803976,3.9561210000000004,4.50840289,8.1011390625,13.557124,10.908865306122449,6.718464,8.829387755102042,6.133877777777777,10.427028099173556,10.978177777777775,7.289999999999998,5.0625,11.2225,10
8,FL,2.706025,5.550248562425684,4.631642015624999,6.52920428402367,4.132251924740484,3.4997429776,4.349120661157024,3.8751562934027777,3.8975871301775147,6.115208379501385,4.518742204444444,7.34297087673611,3.779492408402778,3.841737201225,5.259661718117914,3.464354966049383,12
9,GA,7.707286440000002,6.352815229600695,5.987613241599999,6.480940976331361,9.196056249999998,4.270127040816328,4.804864000000001,6.564804785156249,5.442676911157025,7.465118161357341,5.333597793402777,6.899961493827161,5.960778633217993,9.150625,5.256538795918368,3.2424004444444443,13
