State,2012_2007_PC_LOCLFARM,2012_2007_PC_LOCLSALE,2012_2007_PC_DIRSALES,2018_2013_PC_FMRKTPTH,PCT_FMRKT_CREDIT18,PCT_FMRKT_FRVEG18,PCT_FMRKT_ANMLPROD18,PCT_FMRKT_BAKED18,PCT_FMRKT_OTHERFOOD,2012_2007_PC_VEG_ACRESPTH,2012_2007_PC_FRESHVEG_ACRESPTH,2012_2007_PC_ORCHARD_ACRESPTH,2012_2007_PC_BERRY_ACRESPTH,2012_2007_PC_GHVEG_SQFTPTH,FARM_TO_SCHOOL13,FARM_TO_SCHOOL15
South Dakota,0.08004379814,-0.0805332602,-0.2242287913,-0.00315630777,13.20707067,24.19191915,20.55555552,22.67676764,22.67676764,0.04394288672,-0.3697808745,-0.4429268004,3.542438778,91.61086781,0.4285714286,0.4035087719
Tennessee,0.9521918068,0.09127502844,0.05627491318,0.004521898965,37.15789474,39.21052628,37.96491221,35.97744357,37.63157891,-0.01123302013,0.1980825181,-0.060172289,-0.04699090246,0.8685103362,0.5402298851,0.5384615385
Texas,-0.3523462854,-0.1302019686,-0.4660738456,-0.0002018599941,18.88189893,17.34449275,16.52203436,16.25837415,16.69263804,-0.02653956205,0.2131421731,-0.06414200169,0.2356443014,20.92265172,0.4173553719,0.3905579399
Utah,1.050074148,0.3948749065,0.2924446968,-0.001770430228,44.58128081,49.95894899,49.67159258,46.51067313,49.95894899,-0.06270753643,-0.4627744901,-0.06129793216,0.5469587296,29.14776473,0.4615384615,0.6071428571
Vermont,6.928991585,0.7326770822,0.149671274,-0.01847042835,67.17919023,78.36541476,75.41898618,78.36541476,76.57970047,-0.001211876174,0.5787131714,-0.2944049121,0.1427664558,1.520980919,0.9285714286,1
Virginia,1.298031374,-0.7230991146,0.1168014405,0.003393186943,57.49205219,65.02672736,63.69588157,64.13120498,63.22946366,0.01781888808,-0.3059208696,-0.06957908683,0.1544616736,5.164936117,0.65,0.5043478261
Washington,1.481928453,0.9300389866,-0.003041461404,-0.0005908003555,65.2400544,60.81798436,51.69912231,58.29669131,60.20183231,-0.09743719261,0.1350206571,-0.03305499884,0.1765800211,0.7043532001,0.8947368421,0.8684210526
West Virginia,1.806839097,0.3673965213,0.334889292,0.006632764536,43.24242415,62.54545441,58.54545441,59.45454532,59.81818168,-0.006955760742,0.09418092077,0.05026366578,0.06420531133,10.28981688,0.7021276596,0.8510638298
Wisconsin,0.316831163,-0.0884524141,0.08502634544,0.004639138002,40.14087286,61.66633581,49.85218224,56.62070085,58.60152092,0.007808843821,-0.1662654287,-0.08873404356,0.06733471331,0.5555407116,0.9411764706,0.9571428571
Wyoming,0.1673821415,-0.08138688062,-0.05156731458,0.02835044297,56.88405758,64.13043462,61.59420262,63.0434781,57.97101411,-0.06106533295,-0.6877275432,1.170093136,0,4.104230299,0.2608695652,0.1739130435
