,state_abrv,2006_lead_mg/L_x_population_served,2007_lead_mg/L_x_population_served,2008_lead_mg/L_x_population_served,2009_lead_mg/L_x_population_served,2010_lead_mg/L_x_population_served,2011_lead_mg/L_x_population_served,2012_lead_mg/L_x_population_served,2013_lead_mg/L_x_population_served,2014_lead_mg/L_x_population_served,2015_lead_mg/L_x_population_served,2016_lead_mg/L_x_population_served,2017_lead_mg/L_x_population_served,2018_lead_mg/L_x_population_served,2019_lead_mg/L_x_population_served,2020_lead_mg/L_x_population_served,State
0,AK,-0.7067671665263422,2.575480269505723,0.08998645921283743,-0.07473277533441347,-0.22295996343219648,0.2660160926430448,-0.33055497416279433,-0.2741775747080324,-0.25168894725624047,-0.18755893809984414,-0.3380496999654111,-0.4316541045076928,1.324388108930132,-0.6232382986354954,0.28742057906529483,Alaska
1,AL,0.2373089180016903,-0.21685756398736789,0.19651639814197974,0.1336193409997226,-0.08500424970007359,0.010060066978245796,-0.055572507431254414,-0.19588643758172486,0.05338317498586154,0.019456236834381135,-0.9217831830351649,0.280106203466028,-0.03885733114930612,0.58610577974582,-0.25763517959422133,Alabama
2,AR,0.32733112716028967,-0.2109984791092745,2.1201709219857308,-0.7089462488799829,1.0313351949757732,-0.5530195011043381,0.506198347107438,7.4462890625,-0.9601393727163617,8.926627066608187,-0.45467455621301767,0.28798315442639755,1.2558332355717194,-0.7248608967764061,-0.842572335342321,Arkansas
3,AZ,125.42754974370568,-0.9959442426865871,0.31052386944642785,0.5326949616714118,-0.5889681699771234,21.856927301590435,-0.8593781202892299,-0.6294081479289864,1.487521080481462,-0.25594650208048764,-0.6851028089578678,-0.13082296475193478,0.8594121225076115,-0.5573488323102462,4.787279805586026,Arizona
4,CA,-0.9596157593765221,1.3937999899915177,-0.897751116796098,-0.11232570715644208,-0.14488284687940756,0.411098593945479,-0.5850084866580144,-0.026889910468322342,0.013664961313383683,-0.49158149351256264,0.12094000570624108,-0.4715668427818599,0.018123578032085863,0.474025590275144,2.4961102207662638,California
5,CO,-0.4072595655534269,-0.1298888131213619,0.1362146321252784,0.7282249090153601,0.3645760396102917,-0.4429692514242244,1.489180197549529,-0.25838110370925216,-0.6564027263214246,2.6639397638493,-0.5073901510864643,-0.5684319685978312,0.05785549522292266,-0.056905930040514474,-0.1855389070493516,Colorado
6,CT,11.022437727627471,0.18203407822372308,-0.8443083744255846,0.6230913494338799,-0.34148113519571344,-0.6998418871247672,1.5053142256450358,-0.6054469601936626,1.1467138549320577,0.6194799311991739,-0.602714332894779,0.13293515055062444,0.1570308002859162,0.0023230378428575893,0.7408277102907954,Connecticut
7,DE,-0.5381549354435651,5.954414639787082,-0.7104959938759599,0.6033479507505486,0.2897741783893868,2.490075296688561,-0.8535108774238058,-0.2086672416193993,-0.32767114779245354,-0.20280612244897966,0.5767604602523857,-0.6362454588149862,-0.0672404649223306,-0.85345458984375,8.232778523351898,Delaware
8,FL,6.258577622773116,-0.10191219354928549,-0.3639547171859925,-0.11605356022535995,-0.06177290091194254,-0.3888683338243577,0.09876629409381765,-0.359440798851295,-0.1653626245721851,0.16323497545412802,0.6849534509791806,-0.2692675452824853,-0.2529817284648551,0.10134070784030236,-0.19059567390993115,Florida
9,GA,0.14341061128024335,-0.16851294093222857,0.4017732785580421,-0.5139882781306659,1.4800628347780669,0.02332268912909763,-0.4799654361086183,-0.06155484373067022,-0.4456722904460718,-0.0835348658243561,2.377626907231401,-0.570596828828233,0.008703838490336846,-0.2789197904126115,-0.19935507073537972,Georgia
