,state_abrv,2005_lead_mg/L_x_population_served,2006_lead_mg/L_x_population_served,2007_lead_mg/L_x_population_served,2008_lead_mg/L_x_population_served,2009_lead_mg/L_x_population_served,2010_lead_mg/L_x_population_served,2011_lead_mg/L_x_population_served,2012_lead_mg/L_x_population_served,2013_lead_mg/L_x_population_served,2014_lead_mg/L_x_population_served,2015_lead_mg/L_x_population_served,2016_lead_mg/L_x_population_served,2017_lead_mg/L_x_population_served,2018_lead_mg/L_x_population_served,2019_lead_mg/L_x_population_served,2020_lead_mg/L_x_population_served,fips
15,KS,1.1708983479191452e-05,5.355918367346938e-06,2.5e-05,8.18090005165289e-06,7.492314764737695e-06,6.821314878892733e-06,9.350720221606648e-06,8.696224535989134e-06,1.1980530697190425e-05,3.873024000000001e-06,5.527723456790123e-06,4.958445653761871e-06,1.0931289062500001e-05,3.2651649540292055e-06,5.8858979206049144e-06,5.9460946745562115e-06,20
16,KY,6.4380604444444444e-06,9.053412345679011e-06,2.6620498614958446e-06,4.368616064624296e-06,6.612857157029479e-06,4.093693000562956e-06,6.8437143728090235e-06,4.373154208428933e-06,1.5221791195817172e-06,3.6615339663988316e-06,2.9433937904610915e-06,1.2216223703433166e-06,3.3484793235566123e-06,1.9375360021138857e-06,7.656250000000001e-07,2.304876033057851e-06,21
17,LA,7.845601000000001e-06,9.652206240000001e-06,1.7808399999999997e-05,8.95517085674966e-06,9.493060628195764e-06,6.176686851211074e-06,8.895954631379963e-06,7.756915511235571e-06,5.137777777777778e-06,5.077511111111111e-06,6.51129607609988e-06,5.198399999999999e-06,6.884605672923157e-06,3.0166204986149587e-06,2.6896e-06,2.25e-06,22
20,ME,0.0003652122160664821,0.0005227458677685951,0.0006969599999999999,0.00013340250000000003,0.000205126049382716,0.00017423999999999996,4.8679550029744196e-05,8.080012345679012e-05,4.9821879289940815e-05,2.824204302410518e-05,2.4622027768166085e-05,2.071615225e-05,1.936440025e-05,2.2671882250000002e-05,3.8024999999999996e-06,4.631104000000001e-06,23
19,MD,2.7777777777777775e-06,3.5036160420775803e-06,7.182400000000001e-06,2.0661157024793393e-05,2.2886259040105197e-06,6.840236686390534e-06,3.2653061224489803e-07,2.2299382716049384e-07,3.809869203329369e-09,2.5354437869822488e-06,2.8496756055363316e-07,2.7916840277777775e-06,9.512751111111112e-07,7.865561344000001e-07,1.2744900000000002e-05,1.3690000000000001e-05,24
18,MA,0.0001123739347043135,7.970980779161342e-05,5.231480953318699e-05,4.3723132038733864e-05,2.991341520498615e-05,3.972459577085735e-05,2.2528983044982695e-05,2.8860532840000006e-05,2.4753887402579955e-05,1.8185331066917492e-05,2.3907996679544228e-05,2.164356173015308e-05,2.8649019414206275e-05,2.3021056527008313e-05,2.8712044062128412e-05,2.1709877570021543e-05,25
21,MI,1.6227832359386418e-05,6.730677029136316e-06,1.000556786703601e-05,1.3487256249999999e-05,7.77480277777778e-06,3.4814098750743603e-06,5.0295537777777774e-06,4.089860796740607e-06,5.347902263467631e-06,6.358696378785451e-06,8.687335183673472e-06,1.572806195005945e-05,6.876237356919876e-06,7.127751659151348e-06,4.276591323251418e-05,1.948133750728951e-05,26
22,MN,1.6838287752675383e-05,1.8674744897959183e-05,2.2644470868014276e-05,1.40625e-05,1.1323759133282943e-05,2.2061524334251606e-05,9.553719008264465e-06,7.017851646660511e-06,8.77914951989026e-06,9.978513407284481e-06,7.3391735537190065e-06,6.612244897959185e-06,8.726874842185e-06,8.163265306122448e-06,6.1640903686088e-06,5.165289256198347e-06,27
24,MS,7.2175493314182135e-06,5.737165532879819e-06,3.746989795918367e-06,6.398921381979338e-06,1.0411377777777779e-05,7.902345679012345e-06,5.759999999999999e-06,5.685244140625001e-06,6.509393718042365e-06,4.5066017343756675e-06,4.736350415512465e-06,4.5393647974865105e-06,5.165289256198347e-06,4.611191135734073e-06,3.8122562500000002e-06,4.55111111111111e-06,28
23,MO,1.547041185975309e-05,1.2107236570247935e-05,8.217777777777778e-06,9.861958826511497e-06,1.31709913601947e-05,9.045441831032216e-06,8.436045775805391e-06,9.586273199881023e-06,1.0166344692041522e-05,6.986204163265305e-06,8.539125788298677e-06,6.410898963572626e-06,7.233144257939864e-06,8.218901999231066e-06,6.126375022956842e-06,4.492350625e-05,29
25,MT,2.9090159515570933e-05,3.287111111111111e-05,3.481e-05,2.2793804081632654e-05,7.562499999999999e-06,7.84e-06,1.7127056841138662e-05,1.3071005917159763e-05,1.849e-05,8.91321025e-06,1.6e-05,6.9169e-06,6.144566089965398e-06,4.702225443786982e-06,4.18388429752066e-06,6.25e-06,30
28,NE,1.1644416046001945e-05,1.8889889062500003e-05,5.460011111111111e-06,3.318498650338595e-05,3.7152562499999997e-06,1.1492100000000001e-05,9.800582698961938e-06,7.060408163265305e-06,9.077308163265308e-06,1.359996103515625e-05,1.37325830625e-05,9.0601e-06,1.4036262249999998e-05,6.228768062500001e-06,2.2971479591836727e-05,8.658306249999998e-06,31
32,NV,6.393673469387755e-06,3.5999999999999994e-05,1.2250000000000001e-05,4.605976331360947e-06,1.2250000000000001e-05,3.6e-05,4.994651939513478e-06,4e-06,1.0710743801652893e-05,6.903498654363708e-06,1.8906249999999998e-06,2.590566893424036e-06,3.0200803506208906e-06,1.4215976331360948e-06,1.1551131519274377e-06,1.5259515570934256e-06,32
29,NH,4.5562499999999996e-05,3.94384e-05,6.98418367346939e-05,4.899999999999999e-05,1.3444444444444444e-05,4.29753086419753e-05,1.3633136094674555e-05,8.200413223140497e-06,4e-06,4.5562499999999996e-05,8.71655328798186e-06,2.8900000000000003e-06,1.0648199445983379e-05,7.042899408284021e-06,3.361111111111111e-06,1.0027777777777778e-05,33
30,NJ,2.8201023393710803e-05,1.693347439485767e-05,2.075527881861333e-05,2.9568005536332185e-05,4.1003694186193006e-05,2.2611095674926532e-05,1.3619500283686226e-05,2.0801743654336742e-05,6.8052981102071e-05,9.453026586986709e-06,8.940748445492815e-06,1.602884181478776e-05,2.6610122250000007e-05,5.94829185802212e-05,1.7810693552103027e-05,1.1209909548306857e-05,34
