,state_abrv,2006_copper_mg/L_x_population_served,2007_copper_mg/L_x_population_served,2008_copper_mg/L_x_population_served,2009_copper_mg/L_x_population_served,2010_copper_mg/L_x_population_served,2011_copper_mg/L_x_population_served,2012_copper_mg/L_x_population_served,2013_copper_mg/L_x_population_served,2014_copper_mg/L_x_population_served,2015_copper_mg/L_x_population_served,2016_copper_mg/L_x_population_served,2017_copper_mg/L_x_population_served,2018_copper_mg/L_x_population_served,2019_copper_mg/L_x_population_served,2020_copper_mg/L_x_population_served,State
0,AK,0.23820027664719512,-0.4115749737187182,0.7809328622670626,70250.54117642004,-0.9999908671211184,12601.890800789513,-0.9998930679211696,-0.0770626721781903,0.46488588652699137,-0.5929979206457783,0.7267913886706048,-0.15170128851464737,0.04111440018574908,0.17776929060572932,-0.1606438535068293,Alaska
1,AL,0.6981649148556188,1.1603898377349244,-0.6793438815502976,0.0633851415924751,-0.43595148042964527,2.614177031759448,0.06519103545056648,0.1264157635628682,-0.30262076983591035,58420.868331798476,-0.9999902884258192,-0.1847818915110806,1.5121575014212616,-0.7868781724252895,2.297394809775761,Alabama
2,AR,1.23172387399413,6.169405773839012,1250.125180254761,-0.9764917814465187,-0.9957613746803015,8.431051253221417,-0.21512795919549244,0.0408583067948487,-0.8906575373581043,145.84800005395667,-0.9895764186755989,1.6087307731159175,-0.673368770362722,-0.09933582723290335,-0.6976996200339003,Arkansas
3,AZ,0.3585197530864197,-0.38397204493836545,1.095408088415081,-0.34983024586305733,0.9472009840599187,-0.4256937250073821,1.6308068574740693,48.995909504038856,-0.9899291484444672,-0.6366815240326871,0.5123766410140336,2.3000682463093125,0.025558075081884235,-0.6069221017875217,7.584900000000001,Arizona
4,CA,-0.663575855990117,22.84319124135368,-0.9758270775566137,-0.08588293381731327,0.37419547584860946,1.431655324380829,2.1248783638328823,-0.8836716980977191,-0.10466012612233344,0.21022216835711083,6.019849477815344,-0.8890519039220253,0.1753923535415589,0.0949439560257559,-0.13077852984071803,California
5,CO,-0.949734947761211,-0.5288384251047011,2.059000999999999,-0.47481015861060516,-0.035187843562900056,0.0752304349130064,-0.2446548201046823,0.33343829981555095,-0.03196423638962709,-0.1341712520057753,-0.021222121917902625,-0.18167488721364966,0.3671823909388532,-0.10237255957868241,-0.08729272959183654,Colorado
6,CT,-0.24216700959378967,0.24353342158693447,-0.3118867662017072,0.022535705617974022,0.8193297761677563,-0.24751335962433463,-0.06064360301138938,0.38435223019040277,0.13146556927297692,-0.2833910191798914,-0.27921858228458074,0.6603148861682109,-0.25786395648601745,0.6780687479228114,-0.610508621980169,Connecticut
7,DE,68.17800017008005,-0.9146468846459672,-0.9307814755171403,0.1396018701146906,0.7968977618368973,0.6734836787033613,-0.19534074438483795,-0.384128063600771,0.31419737533788106,-0.3052884358563447,0.6999080315798418,0.05285779163172122,-0.3359553700472453,-0.30555555555555536,1.2167901234567902,Delaware
8,FL,1.0510706894524935,-0.16550728070441878,0.409695365487484,-0.3671124772659198,-0.15306640511280234,0.24269716061820557,-0.10897935575513673,0.00578836957180906,0.5689728478816249,-0.26106488544338236,0.625003274033618,-0.4852911073940237,0.016469087934622095,0.36908420400041564,-0.3413350227228973,Florida
9,GA,-0.17573905173288284,-0.057486637782105054,0.08239138281408698,0.4189384355735286,-0.5356567071002498,0.12522741222271616,0.3662831633020722,-0.1709308822916531,0.3715894371856767,-0.2855306938057899,0.2936786314037114,-0.1361142176589505,0.5351392096673002,-0.4255541237982796,-0.3831681700966185,Georgia
10,HI,2.7916484424705974,0.05495012543769562,8501.604886076775,-0.993175258879556,-0.9853998080479115,8.431051253221417,-0.21512795919549244,0.0408583067948487,-0.9003201389809827,160.08290878208078,-0.9895764186755989,1.6087307731159175,-0.673368770362722,-0.09933582723290335,-0.040833757074309585,Hawaii
11,IA,-0.039235541295060794,-0.2650342569441789,0.05822555471381219,0.4549410104756193,0.04663413307503661,0.16184331666080287,0.052971752604840994,0.4519018449998715,-0.1640816326530613,-0.21286368370056175,-0.12938404638548218,-0.3266472126244644,0.027112508707305416,0.4501402533576482,0.17188190890928956,Iowa
12,ID,-0.29976397629446383,0.1582598517885414,0.1554476074532929,-0.052656103370642526,0.3654762934927236,-0.4212228084917786,5.314990316954934,-0.8381480598497824,0.2239656634709386,-0.12920114307084607,1.0718861914752185,-0.5312296226713723,1.331651101194797,-0.6502476441924465,-0.16177523804950056,Idaho
13,IL,-0.9782028509122415,0.2805429744075063,-0.05257891922608693,-0.198721200923349,0.26123636422226815,0.12112016055746988,-0.33874862934062455,0.5696831943048939,-0.33238905032763233,0.11039288656528568,0.20775488689621158,8.326709310275689,-0.9160991239488389,-0.056877364937122366,16.762589978946977,Illinois
14,IN,0.35262252100349567,-0.3040635269313635,574.1147228685144,-0.9985429639993694,0.4893898545048112,0.0508364774317529,0.6527416667956061,-0.6163050202880221,-0.16809983519580796,5.89088309759247,-0.7670155144183889,-0.25682977736606716,0.37773647461072857,-0.020750122323008324,-0.283862249108203,Indiana
15,KS,-0.1768391313043246,-0.07457850278718237,61219050.83082095,-0.9999999755620635,-0.12009970686216553,0.06339409278456198,-0.08236396316979278,0.046487745013613635,0.08592298969714607,-0.15167369082259186,0.017194037919719296,984.1608119809545,-0.9991950266147183,0.37098707259533636,-0.1582147265655841,Kansas
