StateFIPS,State,WIC_PART_2012_2013,WIC_PART_2013_2014,WIC_PART_2014_2015,WIC_PART_2015_2016,WIC_PART_2016_2017,WIC_PART_2017_2018,NSLP_PART_2012_2013,NSLP_PART_2013_2014,NSLP_PART_2014_2015,NSLP_PART_2015_2016,NSLP_PART_2016_2017,NSLP_PART_2017_2018,SBP_PART_2012_2013,SBP_PART_2013_2014,SBP_PART_2014_2015,SBP_PART_2015_2016,SBP_PART_2016_2017,SBP_PART_2017_2018,SFSP_PART_2012_2013,SFSP_PART_2013_2014,SFSP_PART_2014_2015,SFSP_PART_2015_2016,SFSP_PART_2016_2017,SFSP_PART_2017_2018,State_Population_2012_2013,State_Population_2013_2014,State_Population_2014_2015,State_Population_2015_2016,State_Population_2016_2017,State_Population_2017_2018
33,New Hampshire,-0.0005,-0.0008,0.0111,-0.0005,-0.0008,-0.0006,-0.0055,-0.004563,-0.002459,-0.002380,-0.002329,-0.002236,-0.001357,-0.000376,-0.001187,0.000738,-0.000540,0.000402,0.007314,0.001275,-0.000874,-0.000127,-0.001274,-0.000694,0.001847,0.0051379,0.00230344,0.00454915,0.0055082,0.00495715
34,New Jersey,-0.0005,-0.0006,0.0184,-0.0007,-0.0009,-0.0008,-0.0041,-0.000659,0.000721,0.000000,-0.000335,-0.000682,0.002732,0.003454,0.003278,0.002278,0.000381,-0.000359,0.000765,-0.000729,-0.000519,0.001101,0.000413,0.001064,0.001456,0.0009503,0.00046116,0.00041112,0.0015806,0.00224750
35,New Mexico,-0.0013,-0.0014,0.0279,-0.0016,-0.0009,-0.0018,-0.0039,-0.002087,0.000586,0.001143,-0.001040,-0.001701,-0.001327,0.000597,0.000248,0.002782,-0.002784,-0.001417,-0.007728,0.003321,0.000040,-0.000480,-0.001631,0.002195,0.002512,-0.0011707,-0.00006267,0.00123337,0.0002896,0.00097115
36,New York,-0.0006,-0.0014,0.0247,-0.0006,-0.0012,-0.0009,-0.0039,-0.001449,0.000016,-0.000870,-0.000616,0.001088,-0.000240,0.000916,0.000664,0.002658,0.001861,0.000763,0.001173,0.003394,-0.001096,-0.001127,0.000076,0.000363,0.002733,0.0014412,0.00025849,-0.00100817,-0.0025899,-0.00247617
37,North Carolina,-0.0007,-0.0012,0.0257,-0.0010,-0.0013,-0.0011,-0.0046,-0.002501,0.000511,-0.002187,-0.003519,-0.002416,0.001092,0.000882,0.001893,0.000388,-0.000594,-0.001292,0.000496,0.001077,-0.004740,0.000449,0.001799,0.000148,0.009691,0.0091780,0.00997942,0.01231925,0.0112361,0.01098454
38,North Dakota,-0.0011,-0.0010,0.0174,0.0006,-0.0002,-0.0007,-0.0008,0.000372,-0.001130,0.001298,0.000631,0.000690,-0.000250,-0.000496,0.000611,0.001683,0.000348,0.001739,0.000284,-0.000013,0.001915,0.000016,-0.000578,0.002177,0.029785,0.0213061,0.02256632,0.00043898,0.0010910,0.00648988
39,Ohio,-0.0011,-0.0012,0.0216,-0.0008,-0.0012,-0.0011,-0.0046,-0.001300,-0.002823,-0.000659,-0.001888,-0.000992,0.000300,0.000393,0.000403,0.001367,-0.000157,-0.000013,-0.000371,-0.000803,-0.000017,0.000024,0.001134,0.000063,0.002443,0.0022802,0.00128217,0.00147643,0.0025033,0.00217016
40,Oklahoma,-0.0015,-0.0012,0.0295,-0.0007,-0.0013,-0.0019,-0.0032,-0.000378,-0.000641,0.001292,-0.001428,-0.000710,-0.000447,-0.000687,-0.000698,0.001554,-0.000473,-0.000583,-0.000046,0.001408,-0.000050,-0.000857,-0.000076,0.000041,0.009062,0.0065301,0.00811269,0.00433216,0.0014951,0.00265445
41,Oregon,-0.0011,-0.0015,0.0260,-0.0018,-0.0011,-0.0011,-0.0040,-0.002075,0.000579,0.000806,-0.002444,-0.001524,-0.000919,-0.000445,0.000178,0.000483,-0.000936,0.000198,-0.000615,0.000582,-0.000614,-0.000439,-0.000224,-0.000616,0.006101,0.0105019,0.01332255,0.01854307,0.0134888,0.01064030
42,Pennsylvania,0.0000,-0.0004,0.0195,-0.0007,-0.0009,-0.0006,-0.0049,-0.002091,-0.000415,-0.000453,-0.000656,-0.000386,0.000117,0.000086,0.000656,0.002442,0.000643,0.000901,-0.000535,-0.001694,0.000286,-0.000621,0.000795,0.000004,0.000767,0.0009768,-0.00026132,-0.00017371,0.0005405,0.00129886
44,Rhode Island,-0.0008,-0.0012,0.0210,-0.0004,-0.0008,-0.0005,-0.0023,-0.000521,-0.000591,0.001479,-0.000417,-0.001067,-0.000443,0.000260,-0.000434,0.001653,0.000311,-0.000876,-0.000035,0.001342,0.001034,0.000236,-0.000068,-0.000066,0.000494,0.0008482,0.00014772,0.00084266,-0.0005459,0.00078468
45,South Carolina,-0.0016,-0.0026,0.0235,-0.0018,-0.0018,-0.0017,-0.0041,-0.002076,0.000465,-0.002240,-0.002385,-0.001231,-0.000351,-0.001353,-0.001623,-0.000322,-0.000868,-0.000490,-0.000119,0.002981,-0.001167,-0.001171,-0.005439,0.002782,0.009972,0.0125185,0.01419215,0.01348704,0.0127029,0.01252843
46,South Dakota,-0.0023,-0.0012,0.0231,-0.0006,-0.0011,-0.0010,-0.0027,0.000750,-0.001185,-0.000178,-0.002445,-0.002436,0.000278,0.000196,0.000423,0.000929,-0.000774,-0.000484,0.000575,-0.000257,-0.000039,-0.000245,0.000160,0.000805,0.010527,0.0080948,0.00570612,0.01048911,0.0120479,0.01024750
47,Tennessee,-0.0007,-0.0010,0.0235,-0.0011,-0.0013,-0.0014,-0.0054,-0.001790,0.003308,-0.001595,-0.003273,-0.001253,0.002237,0.001285,0.001978,0.002280,-0.001326,-0.000984,0.001429,0.000980,-0.000316,-0.001178,0.004338,-0.000518,0.006534,0.0072988,0.00764154,0.00822403,0.0095986,0.00912474
48,Texas,-0.0011,-0.0021,0.0340,-0.0015,-0.0018,-0.0030,-0.0042,-0.001969,-0.000219,-0.002059,-0.002639,-0.001796,0.000186,0.000470,0.000092,-0.000199,-0.001617,-0.000565,0.000040,-0.000093,-0.001634,-0.000548,-0.000511,0.001025,0.015326,0.0184103,0.01889274,0.01639615,0.0137888,0.01338600
49,Utah,-0.0014,-0.0022,0.0209,-0.0012,-0.0013,-0.0018,-0.0078,-0.002039,-0.000349,-0.002154,-0.001803,-0.002657,-0.000494,-0.000013,0.000035,0.002126,0.000346,-0.000926,-0.000241,-0.000800,-0.001469,0.000287,-0.000146,-0.001360,0.015581,0.0136208,0.01535304,0.02015627,0.0198859,0.01868669
50,Vermont,-0.0010,-0.0009,0.0228,-0.0015,-0.0019,-0.0003,-0.0043,-0.001528,-0.002142,-0.000941,-0.002271,-0.001204,-0.000961,0.000070,-0.000366,0.002658,0.000591,0.001083,0.000154,0.001493,0.000706,0.001212,0.000899,0.000646,0.000238,-0.0015873,-0.00003359,-0.00248402,0.0014127,0.00284056
51,Virginia,-0.0005,-0.0015,0.0174,-0.0010,-0.0013,-0.0011,-0.0046,-0.001762,-0.001168,-0.000519,-0.001414,0.000375,-0.000107,0.000227,0.000816,0.002793,0.002038,0.002362,0.000088,0.000167,-0.000039,0.000168,0.001634,0.000399,0.008286,0.0071517,0.00611532,0.00574429,0.0064512,0.00619926
53,Washington,-0.0007,-0.0015,0.0260,-0.0014,-0.0019,-0.0020,-0.0038,-0.000483,-0.001819,-0.000879,-0.000979,-0.001779,-0.000601,0.000219,-0.000351,0.000204,-0.000159,0.000152,-0.000153,0.000756,-0.000425,-0.000301,-0.000108,0.000187,0.010160,0.0128586,0.01575398,0.01830616,0.0179243,0.01483537
54,West Virginia,-0.0008,-0.0014,0.0237,-0.0006,-0.0010,-0.0015,-0.0038,-0.000767,0.001584,0.000041,-0.000106,-0.002266,0.001639,0.008044,0.010396,0.002679,0.001613,-0.003125,-0.000701,0.000210,-0.001152,-0.000341,-0.000463,0.000829,-0.001557,-0.0023766,-0.00403954,-0.00600816,-0.0075814,-0.00617265
55,Wisconsin,-0.0009,-0.0009,0.0189,-0.0010,-0.0008,-0.0007,-0.0062,-0.002297,-0.001668,-0.002687,-0.003185,-0.002081,-0.000071,0.000615,0.001345,0.001148,-0.000451,0.000221,0.000086,0.001578,-0.000514,-0.000833,-0.006181,-0.000528,0.002989,0.0026185,0.00163978,0.00200507,0.0033073,0.00371492
56,Wyoming,-0.0013,-0.0006,0.0200,-0.0012,-0.0009,-0.0019,-0.0058,-0.001575,-0.002244,-0.001465,-0.000872,-0.002873,-0.001628,-0.000112,-0.000437,0.001259,0.000800,0.001263,0.000697,0.000018,0.001342,-0.001009,0.001590,0.000105,0.010157,0.0007301,0.00535578,-0.00235287,-0.0091667,-0.00206759
